filename,m,n,k,fitness,iteration,execution_time(s),num_particles,inertia_type,inertia_value,neighborhood_size,c1,c2,dist_type,selection_type
scpb3.txt,3000,300,150,300,1,0.017658472061157227,10,fixed,0.2,,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.021698713302612305,10,fixed,0.2,,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.018774747848510742,10,fixed,0.2,,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.018057823181152344,10,fixed,0.2,30,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.0192105770111084,10,fixed,0.2,30,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.017119169235229492,10,fixed,0.2,30,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.0255889892578125,10,fixed,0.2,30,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.0204620361328125,10,fixed,0.2,30,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017623424530029297,10,fixed,0.2,30,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.01926422119140625,10,fixed,0.2,30,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017360687255859375,10,fixed,0.2,30,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.016712665557861328,10,fixed,0.5,,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.018566131591796875,10,fixed,0.5,,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.016064167022705078,10,fixed,0.5,,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.025500059127807617,10,fixed,0.5,,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.030809402465820312,10,fixed,0.5,,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017595291137695312,10,fixed,0.5,,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.01700735092163086,10,fixed,0.5,,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.0194091796875,10,fixed,0.5,,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.015656709671020508,10,fixed,0.5,30,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017943382263183594,10,fixed,0.5,30,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.017444372177124023,10,fixed,0.5,30,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.017790555953979492,10,fixed,0.5,30,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.013621091842651367,10,fixed,0.5,30,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.022143840789794922,10,fixed,0.5,30,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.018367767333984375,10,fixed,0.5,30,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.02703237533569336,10,fixed,0.5,30,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.01847362518310547,10,fixed,0.7,,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.01486063003540039,10,fixed,0.7,,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.01620316505432129,10,fixed,0.7,,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.016638994216918945,10,fixed,0.7,,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.019662141799926758,10,fixed,0.7,,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.018820524215698242,10,fixed,0.7,,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.014443635940551758,10,fixed,0.7,,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.016321182250976562,10,fixed,0.7,,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.016541242599487305,10,fixed,0.7,30,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.022446870803833008,10,fixed,0.7,30,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.024194717407226562,10,fixed,0.7,30,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.015426158905029297,10,fixed,0.7,30,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.014838695526123047,10,fixed,0.7,30,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.019222259521484375,10,fixed,0.7,30,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.017127037048339844,10,fixed,0.7,30,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.018755674362182617,10,fixed,0.7,30,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.04566144943237305,30,linear,,,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.041150569915771484,30,linear,,,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.04535484313964844,30,linear,,,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.04345965385437012,30,linear,,,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.04100441932678223,30,linear,,,2.0,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.04337191581726074,30,linear,,,2.0,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.04046273231506348,30,linear,,,2.0,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.04083442687988281,30,linear,,,2.0,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.04960441589355469,30,linear,,10,1.5,1.5,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.039832353591918945,30,linear,,10,1.5,1.5,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.04786801338195801,30,linear,,10,1.5,2.0,bit-wise,stochastic
scpb3.txt,3000,300,150,300,1,0.04414176940917969,30,linear,,10,1.5,2.0,HD,stochastic
scpb3.txt,3000,300,150,300,1,0.039937496185302734,30,linear,,10,2.0,1.5,bit-wise,stochastic
