filename,m,n,k,initial_fitness,fitness,iteration,execution_time(s),num_particles,neighborhood_size,inertia_type,inertia_value,c1,c2,mutate,mutation_rate,dist_type,selection_type
scp45.txt,1000,200,50,143,154,500,33.50579237937927,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp45.txt,1000,200,50,143,154,700,47.278064012527466,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp45.txt,1000,200,50,143,154,1000,67.41177940368652,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,143,154,100,4.700117588043213,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp46.txt,1000,200,50,143,154,300,14.97518229484558,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp46.txt,1000,200,50,143,154,500,25.589793920516968,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp46.txt,1000,200,50,143,154,700,36.74785709381104,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp46.txt,1000,200,50,143,154,1000,55.72690796852112,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp46.txt,1000,200,50,140,152,100,6.50030779838562,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp46.txt,1000,200,50,140,152,300,19.195438861846924,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp46.txt,1000,200,50,140,152,500,32.30447769165039,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp46.txt,1000,200,50,140,152,700,45.41613483428955,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp46.txt,1000,200,50,140,153,1000,64.30934071540833,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp46.txt,1000,200,50,146,152,100,6.510922193527222,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp46.txt,1000,200,50,146,152,300,19.241788864135746,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp46.txt,1000,200,50,146,152,500,32.252419233322144,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp46.txt,1000,200,50,146,152,700,45.67061805725098,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp46.txt,1000,200,50,146,155,1000,65.89949369430542,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp46.txt,1000,200,50,141,152,100,6.734720706939697,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,141,152,300,20.233503341674805,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,141,152,500,33.475027561187744,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,141,152,700,47.0521399974823,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp46.txt,1000,200,50,141,155,1000,66.70921778678894,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,139,147,100,4.587896347045898,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp47.txt,1000,200,50,139,148,300,15.707753896713257,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp47.txt,1000,200,50,139,154,500,27.359537363052368,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp47.txt,1000,200,50,139,155,700,39.41815257072449,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp47.txt,1000,200,50,139,155,1000,59.324294090271,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp47.txt,1000,200,50,142,150,100,6.381804704666138,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp47.txt,1000,200,50,142,150,300,19.651573419570923,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp47.txt,1000,200,50,142,152,500,32.37681436538696,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp47.txt,1000,200,50,142,152,700,45.852861166000366,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp47.txt,1000,200,50,142,152,1000,65.50074481964111,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp47.txt,1000,200,50,138,148,100,6.370741367340088,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp47.txt,1000,200,50,138,154,300,19.45072865486145,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp47.txt,1000,200,50,138,154,500,32.72030472755432,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp47.txt,1000,200,50,138,154,700,46.15083384513855,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp47.txt,1000,200,50,138,156,1000,65.60084009170532,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp47.txt,1000,200,50,142,151,100,7.19231104850769,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,142,151,300,21.73865509033203,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,142,151,500,34.14031481742859,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,142,151,700,46.365297079086304,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp47.txt,1000,200,50,142,152,1000,64.74481463432312,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
scp48.txt,1000,200,50,144,150,100,4.632020950317383,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp48.txt,1000,200,50,144,151,300,15.466991424560549,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp48.txt,1000,200,50,144,153,500,27.185052156448364,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp48.txt,1000,200,50,144,153,700,39.15536856651306,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp48.txt,1000,200,50,144,153,1000,58.63299560546875,100,30,fixed,0.5,1.5,2.0,True,0.1,bit-wise,stochastic
scp48.txt,1000,200,50,141,150,100,6.362476587295532,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp48.txt,1000,200,50,141,154,300,19.38443112373352,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp48.txt,1000,200,50,141,154,500,32.271236181259155,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp48.txt,1000,200,50,141,155,700,45.91657781600952,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp48.txt,1000,200,50,141,156,1000,65.30602192878723,100,30,fixed,0.5,1.5,2.0,True,0.2,bit-wise,stochastic
scp48.txt,1000,200,50,145,149,100,6.341019153594971,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp48.txt,1000,200,50,145,153,300,19.49761152267456,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp48.txt,1000,200,50,145,153,500,32.622687101364136,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp48.txt,1000,200,50,145,153,700,46.104010581970215,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp48.txt,1000,200,50,145,153,1000,65.41124677658081,100,30,fixed,0.5,1.5,2.0,True,0.4,bit-wise,stochastic
scp48.txt,1000,200,50,146,151,100,7.297962427139282,100,30,fixed,0.5,1.5,2.0,True,0.8,bit-wise,stochastic
